ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2022,"2022",0,"Total",111806,31734,"Census Tract 401, Snohomish County, WA","14000US53061040100"
2022,"2022",0,"Total",50594,14570,"Census Tract 402, Snohomish County, WA","14000US53061040200"
2022,"2022",0,"Total",75313,14767.000000000002,"Census Tract 403, Snohomish County, WA","14000US53061040300"
2022,"2022",0,"Total",65545,12015,"Census Tract 404, Snohomish County, WA","14000US53061040400"
2022,"2022",0,"Total",96196,7140,"Census Tract 405, Snohomish County, WA","14000US53061040500"
2022,"2022",0,"Total",49643,12769,"Census Tract 407, Snohomish County, WA","14000US53061040700"
2022,"2022",0,"Total",82833,12552,"Census Tract 408, Snohomish County, WA","14000US53061040800"
2022,"2022",0,"Total",119615,25334,"Census Tract 409, Snohomish County, WA","14000US53061040900"
2022,"2022",0,"Total",74340,10240,"Census Tract 410, Snohomish County, WA","14000US53061041000"
2022,"2022",0,"Total",95236,17854,"Census Tract 411, Snohomish County, WA","14000US53061041100"
2022,"2022",0,"Total",108547,13770.000000000002,"Census Tract 412.01, Snohomish County, WA","14000US53061041201"
2022,"2022",0,"Total",84401,14637.999999999998,"Census Tract 412.02, Snohomish County, WA","14000US53061041202"
2022,"2022",0,"Total",129844,37912,"Census Tract 413.01, Snohomish County, WA","14000US53061041301"
2022,"2022",0,"Total",100148,10554,"Census Tract 413.03, Snohomish County, WA","14000US53061041303"
2022,"2022",0,"Total",130750,25047,"Census Tract 413.04, Snohomish County, WA","14000US53061041304"
2022,"2022",0,"Total",90739,29132,"Census Tract 414, Snohomish County, WA","14000US53061041400"
2022,"2022",0,"Total",116020,12433,"Census Tract 415, Snohomish County, WA","14000US53061041500"
2022,"2022",0,"Total",126111,35103,"Census Tract 416.01, Snohomish County, WA","14000US53061041601"
2022,"2022",0,"Total",114571,20757,"Census Tract 416.05, Snohomish County, WA","14000US53061041605"
2022,"2022",0,"Total",91063,15689.999999999998,"Census Tract 416.06, Snohomish County, WA","14000US53061041606"
2022,"2022",0,"Total",158788,5514,"Census Tract 416.07, Snohomish County, WA","14000US53061041607"
2022,"2022",0,"Total",79980,20636,"Census Tract 417.01, Snohomish County, WA","14000US53061041701"
2022,"2022",0,"Total",145446,22635,"Census Tract 417.03, Snohomish County, WA","14000US53061041703"
2022,"2022",0,"Total",91563,11249,"Census Tract 417.04, Snohomish County, WA","14000US53061041704"
2022,"2022",0,"Total",77500,22555,"Census Tract 418.05, Snohomish County, WA","14000US53061041805"
2022,"2022",0,"Total",61345,5288,"Census Tract 418.08, Snohomish County, WA","14000US53061041808"
2022,"2022",0,"Total",64797,3787.9999999999995,"Census Tract 418.09, Snohomish County, WA","14000US53061041809"
2022,"2022",0,"Total",68443,12288,"Census Tract 418.10, Snohomish County, WA","14000US53061041810"
2022,"2022",0,"Total",62800,16063.000000000002,"Census Tract 418.12, Snohomish County, WA","14000US53061041812"
2022,"2022",0,"Total",94779,32679,"Census Tract 419.01, Snohomish County, WA","14000US53061041901"
2022,"2022",0,"Total",57229,9697,"Census Tract 419.04, Snohomish County, WA","14000US53061041904"
2022,"2022",0,"Total",66176,20491,"Census Tract 419.05, Snohomish County, WA","14000US53061041905"
2022,"2022",0,"Total",135085,17226,"Census Tract 420.01, Snohomish County, WA","14000US53061042001"
2022,"2022",0,"Total",133466,23424,"Census Tract 420.03, Snohomish County, WA","14000US53061042003"
2022,"2022",0,"Total",118359,13564,"Census Tract 420.04, Snohomish County, WA","14000US53061042004"
2022,"2022",0,"Total",180938,20629,"Census Tract 420.05, Snohomish County, WA","14000US53061042005"
2022,"2022",0,"Total",79383,20648,"Census Tract 420.06, Snohomish County, WA","14000US53061042006"
2022,"2022",0,"Total",137500,15963.999999999998,"Census Tract 501.01, Snohomish County, WA","14000US53061050101"
2022,"2022",0,"Total",106145,26627,"Census Tract 501.02, Snohomish County, WA","14000US53061050102"
2022,"2022",0,"Total",152120,29659,"Census Tract 502, Snohomish County, WA","14000US53061050200"
2022,"2022",0,"Total",155956,29900,"Census Tract 503, Snohomish County, WA","14000US53061050300"
2022,"2022",0,"Total",100741,16300,"Census Tract 504.02, Snohomish County, WA","14000US53061050402"
2022,"2022",0,"Total",204375,24513,"Census Tract 506, Snohomish County, WA","14000US53061050600"
2022,"2022",0,"Total",110396,8551,"Census Tract 507, Snohomish County, WA","14000US53061050700"
2022,"2022",0,"Total",123922,17395,"Census Tract 508, Snohomish County, WA","14000US53061050800"
2022,"2022",0,"Total",71404,14834,"Census Tract 509, Snohomish County, WA","14000US53061050900"
2022,"2022",0,"Total",98059,3563,"Census Tract 510, Snohomish County, WA","14000US53061051000"
2022,"2022",0,"Total",95022,16600,"Census Tract 511, Snohomish County, WA","14000US53061051100"
2022,"2022",0,"Total",102734,20254,"Census Tract 512, Snohomish County, WA","14000US53061051200"
2022,"2022",0,"Total",71138,5609,"Census Tract 515, Snohomish County, WA","14000US53061051500"
2022,"2022",0,"Total",93769,13590.000000000002,"Census Tract 516.01, Snohomish County, WA","14000US53061051601"
2022,"2022",0,"Total",95714,11908,"Census Tract 516.02, Snohomish County, WA","14000US53061051602"
2022,"2022",0,"Total",66351,18385,"Census Tract 517.01, Snohomish County, WA","14000US53061051701"
2022,"2022",0,"Total",98277,20907,"Census Tract 517.02, Snohomish County, WA","14000US53061051702"
2022,"2022",0,"Total",105558,17649,"Census Tract 518.02, Snohomish County, WA","14000US53061051802"
2022,"2022",0,"Total",73685,7107.000000000001,"Census Tract 518.03, Snohomish County, WA","14000US53061051803"
2022,"2022",0,"Total",105046,15051.999999999998,"Census Tract 518.04, Snohomish County, WA","14000US53061051804"
2022,"2022",0,"Total",139000,12911,"Census Tract 519.12, Snohomish County, WA","14000US53061051912"
2022,"2022",0,"Total",144766,13017,"Census Tract 519.13, Snohomish County, WA","14000US53061051913"
2022,"2022",0,"Total",142606,23677,"Census Tract 519.14, Snohomish County, WA","14000US53061051914"
2022,"2022",0,"Total",153323,16357.999999999998,"Census Tract 519.16, Snohomish County, WA","14000US53061051916"
2022,"2022",0,"Total",136250,22930,"Census Tract 519.17, Snohomish County, WA","14000US53061051917"
2022,"2022",0,"Total",125962,29849,"Census Tract 519.18, Snohomish County, WA","14000US53061051918"
2022,"2022",0,"Total",119102,15549.999999999998,"Census Tract 519.21, Snohomish County, WA","14000US53061051921"
2022,"2022",0,"Total",172222,24283,"Census Tract 519.22, Snohomish County, WA","14000US53061051922"
2022,"2022",0,"Total",189119,10054,"Census Tract 519.26, Snohomish County, WA","14000US53061051926"
2022,"2022",0,"Total",156703,13300,"Census Tract 519.27, Snohomish County, WA","14000US53061051927"
2022,"2022",0,"Total",94294,12936,"Census Tract 519.28, Snohomish County, WA","14000US53061051928"
2022,"2022",0,"Total",142292,23681,"Census Tract 520.04, Snohomish County, WA","14000US53061052004"
2022,"2022",0,"Total",123454,31108.000000000004,"Census Tract 520.05, Snohomish County, WA","14000US53061052005"
2022,"2022",0,"Total",151047,26829,"Census Tract 520.06, Snohomish County, WA","14000US53061052006"
2022,"2022",0,"Total",155469,11117,"Census Tract 520.07, Snohomish County, WA","14000US53061052007"
2022,"2022",0,"Total",124732,16442,"Census Tract 521.04, Snohomish County, WA","14000US53061052104"
2022,"2022",0,"Total",122625,32334,"Census Tract 521.05, Snohomish County, WA","14000US53061052105"
2022,"2022",0,"Total",187979,11806,"Census Tract 521.07, Snohomish County, WA","14000US53061052107"
2022,"2022",0,"Total",163125,25426,"Census Tract 521.08, Snohomish County, WA","14000US53061052108"
2022,"2022",0,"Total",178636,64183.00000000001,"Census Tract 521.12, Snohomish County, WA","14000US53061052112"
2022,"2022",0,"Total",162560,21420,"Census Tract 521.13, Snohomish County, WA","14000US53061052113"
2022,"2022",0,"Total",164412,25491,"Census Tract 521.14, Snohomish County, WA","14000US53061052114"
