route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,ct_cardinal_direction
120,MCOB-DO:113:6:Sunday:2:24MAR:1234567,12279600__MCOB-DO:113:6:Sunday:2:24MAR:31005:1234567,"Lynnwood",0,MCOB-DO:113:6:Sunday:2:24MAR:31005:1234567,120:99,1,1,W
120,MCOB-DO:113:6:Sunday:2:24MAR:1234567,12279601__MCOB-DO:113:6:Sunday:2:24MAR:31005:1234567,"Canyon Park",1,MCOB-DO:113:6:Sunday:2:24MAR:31005:1234567,120:100,1,1,E
240,MCOB-DO:113:6:Sunday:2:24MAR:1234567,12279602__MCOB-DO:113:6:Sunday:2:24MAR:31003:1234567,"Stanwood",0,MCOB-DO:113:6:Sunday:2:24MAR:31003:1234567,240:54,1,1,W
113,MCOB-DO:113:6:Sunday:2:24MAR:1234567,12279603__MCOB-DO:113:6:Sunday:2:24MAR:41042:1234567,"Lynnwood",0,MCOB-DO:113:6:Sunday:2:24MAR:41042:1234567,113:121,1,1,S
113,MCOB-DO:113:6:Sunday:2:24MAR:1234567,12279604__MCOB-DO:113:6:Sunday:2:24MAR:41036:1234567,"Lynnwood",0,MCOB-DO:113:6:Sunday:2:24MAR:41036:1234567,113:121,1,1,S
113,MCOB-DO:113:6:Sunday:2:24MAR:1234567,12279605__MCOB-DO:113:6:Sunday:2:24MAR:41030:1234567,"Lynnwood",0,MCOB-DO:113:6:Sunday:2:24MAR:41030:1234567,113:121,1,1,S
113,MCOB-DO:113:6:Sunday:2:24MAR:1234567,12279606__MCOB-DO:113:6:Sunday:2:24MAR:41004:1234567,"Lynnwood",0,MCOB-DO:113:6:Sunday:2:24MAR:41004:1234567,113:121,1,1,S
113,MCOB-DO:113:6:Sunday:2:24MAR:1234567,12279607__MCOB-DO:113:6:Sunday:2:24MAR:41016:1234567,"Lynnwood",0,MCOB-DO:113:6:Sunday:2:24MAR:41016:1234567,113:121,1,1,S
113,MCOB-DO:113:6:Sunday:2:24MAR:1234567,12279608__MCOB-DO:113:6:Sunday:2:24MAR:41014:1234567,"Lynnwood",0,MCOB-DO:113:6:Sunday:2:24MAR:41014:1234567,113:121,1,1,S
220,MCOB-DO:113:6:Sunday:2:24MAR:1234567,12279609__MCOB-DO:113:6:Sunday:2:24MAR:31004:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:2:24MAR:31004:1234567,220:43,1,1,W
